dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.1,majority_to_minority,0.9989106753812637,0.0018867655855870217,0.9978213507625272,0.0037735311711740434,1.0,0.0,0.9987732798037249,0.0021247417066194564,0.997289972899729,0.00469390462755799,1.0,0.0,1.0,0.0,0.0037590266399710665,0.0022349287203246014,0.0369571547456873,0.005467288747188294,0.0345178697274301,0.003963844308605272,0.1111111111111111,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.1,minority_to_majority,0.9890710382513661,0.00946475851130535,0.9781420765027322,0.01892951702261064,1.0,0.0,0.9901433691756272,0.008536092689631621,1.0,0.0,0.9781420765027322,0.01892951702261064,1.0,0.0,0.003795661587264833,0.002738245864828002,0.015082250073251069,0.004899465281677913,0.011728477735685333,0.0020346779333351057,0.09375,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.2,majority_to_minority,0.9967320261437909,0.003267973856209222,0.9934640522875817,0.006535947712418277,1.0,0.0,0.9963217750255192,0.0036772575493802208,0.9919136288137075,0.008064604970238996,1.0,0.0,1.0,0.0,0.011597339811069,0.0023171679231666093,0.07363242136057054,0.004021088793928301,0.06649447726205913,0.003995701376823093,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0013241919182947334,0.0008178759298845982,0.016830207182601833,0.004376879641942013,0.016092211711141266,0.00395475907904312,0.1875,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.3,majority_to_minority,0.9978213507625272,0.0037735311711740915,0.9956427015250545,0.007547062342348014,1.0,0.0,0.9975484952217943,0.004246130830850074,0.9946236559139785,0.009312101115961625,1.0,0.0,1.0,0.0,0.028548923396423034,0.0036018822594943104,0.1345857322392505,0.009077051570186226,0.11677790254395033,0.007568033103219244,0.3043478260869565,3
banknote_authentication,tabpfn_distpfn,oracle,0.05,0.3,minority_to_majority,0.9931693989071039,0.011830948139131608,0.9863387978142075,0.023661896278263435,1.0,0.0,0.993833721248324,0.010680308091535362,1.0,0.0,0.9863387978142075,0.023661896278263435,1.0,0.0,0.007029689831878401,0.005073436279076657,0.0424922882017433,0.011645811790710236,0.03664035450414247,0.0060154041978102155,0.3125,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0706177993009466e-06,2.3409686841982053e-06,0.00019469559461310001,0.00012744050173860895,0.00019364544939459998,0.0001262667971672347,0.0,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0006408518377162667,0.0005062069285543155,0.0118260748328982,0.002154169530353752,0.011437495616083933,0.0017982875379713788,0.044776119402985,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0005328370531294666,0.0003793983462503803,0.0052929605688718,0.000763741776509657,0.0049856564854632674,0.0005788719000832866,0.046875,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.1,majority_to_minority,0.9978213507625272,0.0037735311711740915,0.9956427015250545,0.007547062342348014,1.0,0.0,0.9975484952217943,0.004246130830850074,0.9946236559139785,0.009312101115961625,1.0,0.0,1.0,0.0,0.004486277771179366,0.002057917390594101,0.032008501887390635,0.00567216855751522,0.02909284307567527,0.005687979052614719,0.09859154929577459,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.1,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.000529000167691,0.0003374767917803873,0.009751473711557967,0.0015204767032458617,0.009456710695326833,0.0013164501394528844,0.09375,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.2,majority_to_minority,0.9923747276688454,0.008224220517724066,0.9847494553376906,0.016448441035448316,1.0,0.0,0.9914332257274271,0.009232786840523463,0.981500296333926,0.01979181237772627,1.0,0.0,1.0,0.0,0.014364512612660599,0.004615688833750366,0.08750675033774243,0.009309219825916284,0.07691759493039196,0.005098109753862162,0.20000000000000004,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.2,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.5700924586837752e-16,0.0014773807492126333,0.00037203104904843035,0.024044662307863434,0.0023853882276976975,0.023258442574107734,0.0021850077191637126,0.203125,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.3,majority_to_minority,0.9989106753812637,0.0018867655855870698,0.9978213507625272,0.0037735311711740915,1.0,0.0,0.9987732798037249,0.0021247417066195045,0.997289972899729,0.004693904627557943,1.0,0.0,1.0,0.0,0.0284124337462224,0.001995382901719809,0.138694137595105,0.010065210614700337,0.12153004111351695,0.009260480465341989,0.2967032967032967,3
banknote_authentication,tabpfn_distpfn,oracle,0.1,0.3,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005205588544745567,0.000937404231005315,0.04729429212011583,0.0012157400429950384,0.04439828384442407,0.0007038154841318125,0.296875,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.0,clean,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3858685853565274e-08,1.897042982737647e-08,3.511809355236328e-05,9.02721224771442e-06,3.511115635240289e-05,9.017722060062654e-06,0.0,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.05,majority_to_minority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009542045104770333,0.0002924390102819237,0.018664345096306267,0.00209985201934594,0.01815088714142933,0.001939166586495251,0.051851851851851795,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.05,minority_to_majority,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00040435502373126664,0.00041797960224260574,0.006644168630425833,0.0008768877792950986,0.006402537945998834,0.0006224447555703434,0.046875,3
banknote_authentication,tabpfn_distpfn,oracle,0.2,0.1,majority_to_minority,0.9934640522875817,0.011320593513522033,0.9869281045751634,0.02264118702704409,1.0,0.0,0.9926666666666666,0.01270170592217177,0.984375,0.027063293868263706,1.0,0.0,1.0,0.0,0.0092832763509002,0.011672614822977512,0.06995512995458274,0.058317017899777446,0.0416786581661418,0.011684974848098724,0.09859154929577459,3
