dataset,method,prior_mode,r,c,direction,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,worst_class_recall_std,auprc_mean,auprc_std,macro_f1_mean,macro_f1_std,minority_precision_mean,minority_precision_std,minority_recall_mean,minority_recall_std,auroc_mean,auroc_std,brier_mean,brier_std,log_loss_mean,log_loss_std,ece_mean,ece_std,realized_c_mean,n_seeds,baseline_ba,baseline_brier,balanced_accuracy_gain,brier_gain
blood_transfusion,xgb_weighted,,0.05,0.2,minority_to_majority,0.513157894736842,0.0168604716296356,0.111111111111111,0.0555555555555555,0.338311613080334,0.0191385446393048,0.4942277256446827,0.0234764815744791,0.3460038986354776,0.1413322576878397,0.111111111111111,0.0555555555555555,0.6005523066926576,0.0353885429735383,0.2347291857004165,0.0187821891153358,1.2480587561925252,0.1153291065822584,0.2375823477510776,0.0214901306424448,0.2142857142857142,3,0.5095029239766081,0.2176976104577382,0.003654970760233911,-0.017031575242678315
blood_transfusion,xgb_weighted,,0.05,0.3,majority_to_minority,0.5626218323586745,0.059464176453513,0.2129629629629629,0.1785861252035732,0.3901227785553563,0.0866380609178721,0.5521440824809165,0.0732389938121682,0.4141414141414141,0.0699818508108636,0.2129629629629629,0.1785861252035732,0.6490415854450942,0.0860265292678771,0.2157454540332158,0.0196706499364601,0.9680776794751486,0.1817967280382361,0.2108824493280714,0.0292128441353863,0.3,3,0.5263157894736842,0.1998238166173298,0.036306042884990286,-0.01592163741588598
blood_transfusion,xgb_weighted,,0.05,0.3,minority_to_majority,0.540448343079922,0.0114262905338142,0.1481481481481481,0.0160375074774895,0.3739673426387523,0.0520581039845887,0.5325045471929365,0.0147313453322994,0.4117826617826618,0.052368890403188,0.1481481481481481,0.0160375074774895,0.6487166991552956,0.0311951114018,0.2215082397063572,0.0069780255820529,1.0798404812812803,0.0823858190400671,0.2251984301851027,0.0077265310077298,0.2857142857142857,3,0.5,0.2148586114247639,0.040448343079921956,-0.006649628281593295
blood_transfusion,xgb_weighted,,0.1,0.0,clean,0.5219298245614036,0.010128952091046,0.1666666666666666,0.0962250448649376,0.3222274506516708,0.0271988540987858,0.5106551080519415,0.0092689254040888,0.3384315489578647,0.094471577690903,0.1666666666666666,0.0962250448649376,0.6065627030539311,0.024446850045577,0.2352514415979385,0.0220704430396603,0.973336398601532,0.0730487845727016,0.2252596999311612,0.037971818578964,0.0,3,0.5041423001949318,0.2142406404018401,0.017787524366471796,-0.02101080119609841
blood_transfusion,xgb_weighted,,0.1,0.05,majority_to_minority,0.5445906432748537,0.0337130191742696,0.25,0.0833333333333333,0.3493742177800485,0.064865366181497,0.5443289552778868,0.0373088001329281,0.3258064516129032,0.0532990698124461,0.25,0.0833333333333333,0.6433560753736193,0.0371523444670179,0.2359169373909632,0.0267372392098597,0.964201311270396,0.1272387307388115,0.2290764780922068,0.0331772425094584,0.0344827586206896,3,0.5348440545808967,0.2014287163813909,0.009746588693957059,-0.0344882210095723
blood_transfusion,xgb_weighted,,0.1,0.05,minority_to_majority,0.5623781676413255,0.0362143484075705,0.2592592592592592,0.1122625523424272,0.3509214984940159,0.0446228495870835,0.5622104132797194,0.0371397601157106,0.4028355278355278,0.1252020020037171,0.2592592592592592,0.1122625523424272,0.5932423651721898,0.0524077908558124,0.2225644340117772,0.0201350838761306,0.9544861515363058,0.0250725970657134,0.2150503016428814,0.0215492045147427,0.0357142857142857,3,0.5350877192982456,0.2011048793792724,0.02729044834307992,-0.02145955463250479
blood_transfusion,xgb_weighted,,0.1,0.1,majority_to_minority,0.51364522417154,0.0560741289295262,0.2407407407407407,0.0975523495634512,0.3406568330734147,0.098738346450216,0.512851514395511,0.0590373574290923,0.2597644666610184,0.0966759069661049,0.2407407407407407,0.0975523495634512,0.6053037686809617,0.0898426981756844,0.2430742035309473,0.0285275070529636,0.9187566439310708,0.1634407334203689,0.2351049082643455,0.0397842300485732,0.096774193548387,3,0.5394736842105262,0.2049745023250579,-0.0258284600389862,-0.0380997012058894
blood_transfusion,xgb_weighted,,0.1,0.1,minority_to_majority,0.5397173489278753,0.0382801846426969,0.2314814814814814,0.0578240555407259,0.3538544687605811,0.0344861610634176,0.5407483452979213,0.0425386470043332,0.3253798670465337,0.0819679067698082,0.2314814814814814,0.0578240555407259,0.657041910331384,0.0428273233913779,0.2365565051635106,0.0256203979924862,0.9791764418284098,0.1188567311964403,0.2325032768667572,0.0394636056567464,0.1071428571428571,3,0.5194931773879142,0.2049138844013213,0.020224171539961033,-0.031642620762189294
blood_transfusion,xgb_weighted,,0.1,0.2,majority_to_minority,0.5604288499025342,0.0299826439616785,0.2407407407407407,0.0699058744006551,0.3948780812963227,0.0279348170395067,0.5623629715399223,0.0359132397931261,0.3839227698876821,0.0599465469115635,0.2407407407407407,0.0699058744006551,0.6348684210526315,0.0149427276164164,0.2121295481920242,0.0110715113631077,0.8489790161450704,0.0970597253576211,0.1975846297004156,0.0273466405141204,0.2,3,0.5582358674463938,0.1885910580555597,0.002192982456140413,-0.0235384901364645
blood_transfusion,xgb_weighted,,0.1,0.2,minority_to_majority,0.5679824561403509,0.0567404045915936,0.25,0.0734930919740164,0.3695552165771196,0.1004815323576557,0.5734762707753683,0.0644948825227365,0.4251006800026407,0.1484209342542244,0.25,0.0734930919740164,0.5843079922027291,0.0834460944686521,0.2193469554185867,0.0343459267168978,1.1048466563224792,0.1594756415332668,0.2164650763426389,0.0518148716647075,0.2142857142857142,3,0.5467836257309941,0.2019052654504775,0.021198830409356773,-0.017441689968109214
