method,dataset,r,direction,break_even_c
tabpfn_threshold,statlog_heart,0.1,majority_to_minority,>0.30
tabpfn_threshold,statlog_heart,0.1,minority_to_majority,>0.30
tabpfn_threshold,statlog_heart,0.2,majority_to_minority,0.3
tabpfn_threshold,statlog_heart,0.2,minority_to_majority,>0.30
tabpfn_threshold,statlog_heart,0.5,majority_to_minority,0.05
tabpfn_threshold,statlog_heart,0.5,minority_to_majority,0.05
xgb_ros,banknote_authentication,0.05,majority_to_minority,>0.30
xgb_ros,banknote_authentication,0.05,minority_to_majority,>0.30
xgb_ros,banknote_authentication,0.1,majority_to_minority,>0.30
xgb_ros,banknote_authentication,0.1,minority_to_majority,>0.30
xgb_ros,banknote_authentication,0.2,majority_to_minority,0.05
xgb_ros,banknote_authentication,0.2,minority_to_majority,>0.30
xgb_ros,banknote_authentication,0.5,majority_to_minority,0.1
xgb_ros,banknote_authentication,0.5,minority_to_majority,0.1
xgb_ros,blood_transfusion,0.05,majority_to_minority,>0.30
xgb_ros,blood_transfusion,0.05,minority_to_majority,0.1
xgb_ros,blood_transfusion,0.1,majority_to_minority,0.2
xgb_ros,blood_transfusion,0.1,minority_to_majority,>0.30
xgb_ros,blood_transfusion,0.2,majority_to_minority,0.2
xgb_ros,blood_transfusion,0.2,minority_to_majority,0.1
xgb_ros,blood_transfusion,0.5,majority_to_minority,0.05
xgb_ros,blood_transfusion,0.5,minority_to_majority,0.1
xgb_ros,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
xgb_ros,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
xgb_ros,breast_cancer_wisconsin,0.1,majority_to_minority,>0.30
xgb_ros,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
xgb_ros,breast_cancer_wisconsin,0.2,majority_to_minority,0.1
xgb_ros,breast_cancer_wisconsin,0.2,minority_to_majority,>0.30
xgb_ros,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
xgb_ros,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
xgb_ros,haberman_survival,0.05,majority_to_minority,0.05
xgb_ros,haberman_survival,0.05,minority_to_majority,>0.30
xgb_ros,haberman_survival,0.1,majority_to_minority,>0.30
xgb_ros,haberman_survival,0.1,minority_to_majority,0.05
xgb_ros,haberman_survival,0.2,majority_to_minority,0.05
xgb_ros,haberman_survival,0.2,minority_to_majority,0.3
xgb_ros,haberman_survival,0.5,majority_to_minority,0.1
xgb_ros,haberman_survival,0.5,minority_to_majority,0.05
xgb_ros,htru2,0.05,majority_to_minority,>0.30
xgb_ros,htru2,0.05,minority_to_majority,>0.30
xgb_ros,htru2,0.1,majority_to_minority,>0.30
xgb_ros,htru2,0.1,minority_to_majority,>0.30
xgb_ros,htru2,0.2,majority_to_minority,0.2
xgb_ros,htru2,0.2,minority_to_majority,>0.30
xgb_ros,htru2,0.5,majority_to_minority,>0.30
xgb_ros,htru2,0.5,minority_to_majority,>0.30
xgb_ros,ionosphere,0.05,majority_to_minority,>0.30
xgb_ros,ionosphere,0.05,minority_to_majority,>0.30
xgb_ros,ionosphere,0.1,majority_to_minority,>0.30
xgb_ros,ionosphere,0.1,minority_to_majority,>0.30
xgb_ros,ionosphere,0.2,majority_to_minority,>0.30
