dataset,r,c,direction,method,balanced_accuracy_observed,balanced_accuracy_oracle
breast_cancer_wisconsin,0.5,0.1,minority_to_majority,tabpfn_threshold,0.9669312169312168,0.9659391534391536
breast_cancer_wisconsin,0.5,0.2,majority_to_minority,tabpfn_threshold,0.9593253968253967,0.9487433862433862
breast_cancer_wisconsin,0.5,0.2,minority_to_majority,tabpfn_threshold,0.95734126984127,0.9484126984126984
breast_cancer_wisconsin,0.5,0.3,majority_to_minority,tabpfn_threshold,0.960978835978836,0.8948412698412698
breast_cancer_wisconsin,0.5,0.3,minority_to_majority,tabpfn_threshold,0.964616402116402,0.9262566137566138
south_german_credit,0.05,0.0,clean,tabpfn_threshold,0.6611111111111111,0.6611111111111111
south_german_credit,0.05,0.05,majority_to_minority,tabpfn_threshold,0.6722222222222222,0.6694444444444444
south_german_credit,0.05,0.05,minority_to_majority,tabpfn_threshold,0.6936507936507935,0.6940476190476191
south_german_credit,0.05,0.1,majority_to_minority,tabpfn_threshold,0.6496031746031746,0.65
south_german_credit,0.05,0.1,minority_to_majority,tabpfn_threshold,0.6503968253968254,0.6420634920634921
south_german_credit,0.05,0.2,majority_to_minority,tabpfn_threshold,0.6273809523809524,0.6313492063492063
south_german_credit,0.05,0.2,minority_to_majority,tabpfn_threshold,0.6376984126984127,0.6174603174603175
south_german_credit,0.05,0.3,majority_to_minority,tabpfn_threshold,0.6091269841269842,0.6373015873015873
south_german_credit,0.05,0.3,minority_to_majority,tabpfn_threshold,0.6833333333333332,0.6190476190476191
south_german_credit,0.1,0.0,clean,tabpfn_threshold,0.6670634920634919,0.6670634920634919
south_german_credit,0.1,0.05,majority_to_minority,tabpfn_threshold,0.6952380952380953,0.7011904761904763
south_german_credit,0.1,0.05,minority_to_majority,tabpfn_threshold,0.6833333333333332,0.6825396825396824
south_german_credit,0.1,0.1,majority_to_minority,tabpfn_threshold,0.6884920634920636,0.7015873015873016
south_german_credit,0.1,0.1,minority_to_majority,tabpfn_threshold,0.7015873015873016,0.7007936507936509
south_german_credit,0.1,0.2,majority_to_minority,tabpfn_threshold,0.6964285714285715,0.6833333333333332
south_german_credit,0.1,0.2,minority_to_majority,tabpfn_threshold,0.7000000000000001,0.6761904761904761
south_german_credit,0.1,0.3,majority_to_minority,tabpfn_threshold,0.6587301587301587,0.65
south_german_credit,0.1,0.3,minority_to_majority,tabpfn_threshold,0.6801587301587301,0.6293650793650793
south_german_credit,0.2,0.0,clean,tabpfn_threshold,0.6773809523809523,0.6773809523809523
south_german_credit,0.2,0.05,majority_to_minority,tabpfn_threshold,0.6869047619047618,0.6817460317460317
south_german_credit,0.2,0.05,minority_to_majority,tabpfn_threshold,0.701984126984127,0.7035714285714286
south_german_credit,0.2,0.1,majority_to_minority,tabpfn_threshold,0.7150793650793651,0.7130952380952381
south_german_credit,0.2,0.1,minority_to_majority,tabpfn_threshold,0.6746031746031745,0.688095238095238
south_german_credit,0.2,0.2,majority_to_minority,tabpfn_threshold,0.6912698412698414,0.6944444444444445
south_german_credit,0.2,0.2,minority_to_majority,tabpfn_threshold,0.692857142857143,0.6904761904761906
south_german_credit,0.2,0.3,majority_to_minority,tabpfn_threshold,0.7091269841269842,0.6873015873015872
south_german_credit,0.2,0.3,minority_to_majority,tabpfn_threshold,0.6980158730158731,0.6555555555555556
south_german_credit,0.5,0.0,clean,tabpfn_threshold,0.7138888888888889,0.7138888888888889
south_german_credit,0.5,0.05,majority_to_minority,tabpfn_threshold,0.7107142857142857,0.7075396825396826
south_german_credit,0.5,0.05,minority_to_majority,tabpfn_threshold,0.6956349206349207,0.6952380952380953
south_german_credit,0.5,0.1,majority_to_minority,tabpfn_threshold,0.6900793650793652,0.6853174603174604
south_german_credit,0.5,0.1,minority_to_majority,tabpfn_threshold,0.6964285714285715,0.6904761904761904
south_german_credit,0.5,0.2,majority_to_minority,tabpfn_threshold,0.7071428571428572,0.6845238095238096
south_german_credit,0.5,0.2,minority_to_majority,tabpfn_threshold,0.6976190476190477,0.6738095238095237
south_german_credit,0.5,0.3,majority_to_minority,tabpfn_threshold,0.6682539682539682,0.5682539682539682
south_german_credit,0.5,0.3,minority_to_majority,tabpfn_threshold,0.7011904761904763,0.6142857142857143
spambase,0.05,0.0,clean,tabpfn_threshold,0.9456910256030492,0.9456910256030492
