dataset,r,c,direction,method,psg
htru2,0.2,0.3,majority_to_minority,tabpfn_threshold,0.0010618856188563397
htru2,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.004295042950429262
htru2,0.5,0.05,majority_to_minority,tabpfn_threshold,0.0002475024750248078
htru2,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.0005506305063049943
htru2,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.0005300053000528715
htru2,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.00171626716267137
htru2,0.5,0.2,majority_to_minority,tabpfn_threshold,0.0016256412564125133
htru2,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.0014381393813935883
htru2,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.0679381793817938
htru2,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.004081290812907978
ionosphere,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0
ionosphere,0.05,0.05,minority_to_majority,tabpfn_threshold,0.0
ionosphere,0.05,0.1,majority_to_minority,tabpfn_threshold,0.0024637681159419555
ionosphere,0.05,0.1,minority_to_majority,tabpfn_threshold,-0.006666666666666821
ionosphere,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.01449275362318847
ionosphere,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.01637681159420279
ionosphere,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.029565217391304244
ionosphere,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.033333333333333215
ionosphere,0.1,0.05,majority_to_minority,tabpfn_threshold,0.006666666666666599
ionosphere,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0036231884057972286
ionosphere,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.0036231884057972286
ionosphere,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.003043478260869592
ionosphere,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.012028985507246515
ionosphere,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.0024637681159418445
ionosphere,0.1,0.3,majority_to_minority,tabpfn_threshold,0.007391304347825978
ionosphere,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.012173913043478035
ionosphere,0.2,0.05,majority_to_minority,tabpfn_threshold,-0.0036231884057970065
ionosphere,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0
ionosphere,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.0036231884057972286
ionosphere,0.2,0.1,minority_to_majority,tabpfn_threshold,-0.006666666666666821
ionosphere,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.021739130434782816
ionosphere,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.003043478260869592
ionosphere,0.2,0.3,majority_to_minority,tabpfn_threshold,0.02188405797101467
ionosphere,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.009710144927536302
ionosphere,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.0036231884057970065
ionosphere,0.5,0.05,minority_to_majority,tabpfn_threshold,0.0
ionosphere,0.5,0.1,majority_to_minority,tabpfn_threshold,0.003043478260869592
ionosphere,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.003043478260869592
ionosphere,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.02347826086956506
ionosphere,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.012753623188405783
ionosphere,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.17855072463768118
ionosphere,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.10304347826086968
qsar_biodegradation,0.05,0.05,majority_to_minority,tabpfn_threshold,0.0023474178403755097
qsar_biodegradation,0.05,0.05,minority_to_majority,tabpfn_threshold,3.353454057686278e-05
qsar_biodegradation,0.05,0.1,majority_to_minority,tabpfn_threshold,-0.0036384976525821733
qsar_biodegradation,0.05,0.1,minority_to_majority,tabpfn_threshold,0.004795439302481497
qsar_biodegradation,0.05,0.2,majority_to_minority,tabpfn_threshold,-0.004996646545942118
qsar_biodegradation,0.05,0.2,minority_to_majority,tabpfn_threshold,0.002481556002682739
qsar_biodegradation,0.05,0.3,majority_to_minority,tabpfn_threshold,-0.031187122736418438
qsar_biodegradation,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.0021126760563381364
qsar_biodegradation,0.1,0.05,majority_to_minority,tabpfn_threshold,-0.0024144869215292353
qsar_biodegradation,0.1,0.05,minority_to_majority,tabpfn_threshold,0.0035714285714283367
qsar_biodegradation,0.1,0.1,majority_to_minority,tabpfn_threshold,-0.014319248826291098
qsar_biodegradation,0.1,0.1,minority_to_majority,tabpfn_threshold,0.0012575452716298008
qsar_biodegradation,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.0038732394366197687
qsar_biodegradation,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.003403755868544578
qsar_biodegradation,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.021965124077800047
qsar_biodegradation,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.00435949027498328
qsar_biodegradation,0.2,0.05,majority_to_minority,tabpfn_threshold,-0.0023809523809523725
qsar_biodegradation,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0023809523809523725
qsar_biodegradation,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.006019450033534435
qsar_biodegradation,0.2,0.1,minority_to_majority,tabpfn_threshold,0.006019450033534546
qsar_biodegradation,0.2,0.2,majority_to_minority,tabpfn_threshold,-0.006220657276995278
qsar_biodegradation,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.0056170355466128585
qsar_biodegradation,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.02431254191817578
qsar_biodegradation,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.009121395036887803
qsar_biodegradation,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.001224010731052938
qsar_biodegradation,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.002313883299798758
qsar_biodegradation,0.5,0.1,majority_to_minority,tabpfn_threshold,0.002146210596914777
qsar_biodegradation,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.00684104627766613
qsar_biodegradation,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.0006036217303824198
qsar_biodegradation,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.010211267605633956
qsar_biodegradation,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.1532193158953722
qsar_biodegradation,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.03106975184439975
south_german_credit,0.05,0.05,majority_to_minority,tabpfn_threshold,-0.002777777777777768
south_german_credit,0.05,0.05,minority_to_majority,tabpfn_threshold,0.00039682539682561746
south_german_credit,0.05,0.1,majority_to_minority,tabpfn_threshold,0.0003968253968253954
south_german_credit,0.05,0.1,minority_to_majority,tabpfn_threshold,-0.008333333333333304
south_german_credit,0.05,0.2,majority_to_minority,tabpfn_threshold,0.003968253968253954
south_german_credit,0.05,0.2,minority_to_majority,tabpfn_threshold,-0.020238095238095166
south_german_credit,0.05,0.3,majority_to_minority,tabpfn_threshold,0.028174603174603075
south_german_credit,0.05,0.3,minority_to_majority,tabpfn_threshold,-0.06428571428571417
south_german_credit,0.1,0.05,majority_to_minority,tabpfn_threshold,0.005952380952380931
south_german_credit,0.1,0.05,minority_to_majority,tabpfn_threshold,-0.0007936507936507908
south_german_credit,0.1,0.1,majority_to_minority,tabpfn_threshold,0.013095238095238049
south_german_credit,0.1,0.1,minority_to_majority,tabpfn_threshold,-0.0007936507936507908
south_german_credit,0.1,0.2,majority_to_minority,tabpfn_threshold,-0.01309523809523827
south_german_credit,0.1,0.2,minority_to_majority,tabpfn_threshold,-0.023809523809523947
south_german_credit,0.1,0.3,majority_to_minority,tabpfn_threshold,-0.0087301587301587
south_german_credit,0.1,0.3,minority_to_majority,tabpfn_threshold,-0.050793650793650724
south_german_credit,0.2,0.05,majority_to_minority,tabpfn_threshold,-0.00515873015873014
south_german_credit,0.2,0.05,minority_to_majority,tabpfn_threshold,0.0015873015873015817
south_german_credit,0.2,0.1,majority_to_minority,tabpfn_threshold,-0.001984126984126977
south_german_credit,0.2,0.1,minority_to_majority,tabpfn_threshold,0.013492063492063444
south_german_credit,0.2,0.2,majority_to_minority,tabpfn_threshold,0.0031746031746031633
south_german_credit,0.2,0.2,minority_to_majority,tabpfn_threshold,-0.0023809523809523725
south_german_credit,0.2,0.3,majority_to_minority,tabpfn_threshold,-0.02182539682539697
south_german_credit,0.2,0.3,minority_to_majority,tabpfn_threshold,-0.04246031746031753
south_german_credit,0.5,0.05,majority_to_minority,tabpfn_threshold,-0.0031746031746031633
south_german_credit,0.5,0.05,minority_to_majority,tabpfn_threshold,-0.0003968253968253954
south_german_credit,0.5,0.1,majority_to_minority,tabpfn_threshold,-0.004761904761904745
south_german_credit,0.5,0.1,minority_to_majority,tabpfn_threshold,-0.005952380952381153
south_german_credit,0.5,0.2,majority_to_minority,tabpfn_threshold,-0.02261904761904754
south_german_credit,0.5,0.2,minority_to_majority,tabpfn_threshold,-0.023809523809523947
south_german_credit,0.5,0.3,majority_to_minority,tabpfn_threshold,-0.09999999999999998
south_german_credit,0.5,0.3,minority_to_majority,tabpfn_threshold,-0.08690476190476193
spambase,0.05,0.05,majority_to_minority,tabpfn_threshold,0.00018266733809257918
spambase,0.05,0.05,minority_to_majority,tabpfn_threshold,0.00013823474233998212
spambase,0.05,0.1,majority_to_minority,tabpfn_threshold,0.002456135154082384
spambase,0.05,0.1,minority_to_majority,tabpfn_threshold,0.00025425318680438735
spambase,0.05,0.2,majority_to_minority,tabpfn_threshold,0.0014662756598241566
spambase,0.05,0.2,minority_to_majority,tabpfn_threshold,0.0005307226714850177
spambase,0.05,0.3,majority_to_minority,tabpfn_threshold,0.0003381814232252811
