dataset,seed,r,c,direction,realized_c,method,prior_mode,balanced_accuracy,worst_class_recall,auprc,macro_f1,minority_precision,minority_recall,auroc,brier,log_loss,ece
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_distpfn,oracle,0.9640522875816994,0.9281045751633988,1.0,0.9597873047524096,0.9172932330827068,1.0,1.0,0.0817425248805025,0.2650296312876896,0.2054518367736239
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_distpfn_t,observed,0.9967320261437908,0.9934640522875816,1.0,0.9963198394111744,0.991869918699187,1.0,1.0,0.0273049295822452,0.1348618766088388,0.1181907544503585
banknote_authentication,13,0.5,0.3,majority_to_minority,0.299781181619256,tabpfn_distpfn_t,oracle,0.9640522875816994,0.9281045751633988,1.0,0.9597873047524096,0.9172932330827068,1.0,1.0,0.087608402408628,0.2784706280538648,0.214933931517369
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,xgb_none,,0.860655737704918,0.7213114754098361,0.9991535635745702,0.8690476190476191,1.0,0.7213114754098361,0.999303546555234,0.0806001275777816,0.2402607649564743,0.1296389062482525
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,xgb_weighted,,0.8770491803278688,0.7540983606557377,0.999213081178179,0.8852636849132176,1.0,0.7540983606557377,0.9993571198971392,0.0711289122700691,0.2101131975650787,0.1148653530668128
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,xgb_ros,,0.8729508196721312,0.7459016393442623,0.9996022571687578,0.8812359816664577,1.0,0.7459016393442623,0.9996785599485696,0.073571391403675,0.2175978124141693,0.1179065522348338
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,xgb_smote,,0.8729508196721312,0.7459016393442623,0.9988510910541278,0.8812359816664577,1.0,0.7459016393442623,0.9990356798457088,0.0679645463824272,0.2050896733999252,0.1109084053235975
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036667313426733,0.1482872664928436,0.124994893771833
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036667313426733,0.1482872664928436,0.124994893771833
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036667313426733,0.1482872664928436,0.124994893771833
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0040925863580552,0.0393767898613451,0.0370880280312262
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0112164171802477,0.0697318698520733,0.0630410971758534
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0070940027553362,0.0565065666190108,0.0525244627330802
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0162689696730794,0.089214047887312,0.0794401918424607
banknote_authentication,13,0.5,0.3,minority_to_majority,0.3,tabpfn_downsample,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0124756321310997,0.0813188031315803,0.0742753744348671
banknote_authentication,13,0.2,0.0,clean,0.0,xgb_none,,0.9959016393442623,0.9918032786885246,1.0,0.9963137223361618,1.0,0.9918032786885246,1.0,0.0081350868567824,0.0319282412528991,0.0259632099098102
banknote_authentication,13,0.2,0.0,clean,0.0,xgb_weighted,,0.9918032786885246,0.9836065573770492,1.0,0.9926210153482882,1.0,0.9836065573770492,1.0,0.0039538727141916,0.0182846169918775,0.0155412733385508
banknote_authentication,13,0.2,0.0,clean,0.0,xgb_ros,,0.9959016393442623,0.9918032786885246,1.0,0.9963137223361618,1.0,0.9918032786885246,1.0,0.0028307659085839,0.015246202237904,0.0132731677744198
banknote_authentication,13,0.2,0.0,clean,0.0,xgb_smote,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0031650050077587,0.016423488035798,0.0143756082247604
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.859838505424705e-07,5.689960380550474e-05,5.684407337949696e-05
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.859838505424705e-07,5.689960380550474e-05,5.684407337949696e-05
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.859838505424705e-07,5.689960380550474e-05,5.684407337949696e-05
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3317556913704434e-13,5.3428781571604145e-08,5.342856497050091e-08
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3317556913704434e-13,5.3428781571604145e-08,5.342856497050091e-08
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.379261798162385e-09,6.805027014871295e-06,6.8033365046132205e-06
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.379261798162385e-09,6.805027014871295e-06,6.8033365046132205e-06
banknote_authentication,13,0.2,0.0,clean,0.0,tabpfn_downsample,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.589813271304592e-05,0.0010202693520113,0.000968298688769
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,xgb_none,,0.9959016393442623,0.9918032786885246,0.999436866474784,0.9963137223361618,1.0,0.9918032786885246,0.9995178399228544,0.0094906976446509,0.0423703342676162,0.0239998801679096
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,xgb_weighted,,0.9926336654880532,0.9918032786885246,0.9996157786885246,0.9926336654880532,0.9918032786885246,0.9918032786885246,0.9996785599485696,0.0057933288626372,0.0263766814023256,0.0168560833991928
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,xgb_ros,,0.9959016393442623,0.9918032786885246,0.999677294436556,0.9963137223361618,1.0,0.9918032786885246,0.9997321332904746,0.0053759245201945,0.0258216243237257,0.0157054059071974
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,xgb_smote,,0.9926336654880532,0.9918032786885246,0.999436866474784,0.9926336654880532,0.9918032786885246,0.9918032786885246,0.9995178399228544,0.0074495556764304,0.0302524287253618,0.0183074884523044
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_none,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.749918197281659e-05,0.0055455658584833,0.0055004929344762
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_threshold,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.749918197281659e-05,0.0055455658584833,0.0055004929344762
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_threshold,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.749918197281659e-05,0.0055455658584833,0.0055004929344762
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_distpfn,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.662285454599031e-06,0.0003544190945033,0.000351514249228
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_distpfn,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.440136137948037e-06,0.0003787336179962,0.0003754239887621
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_distpfn_t,observed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0520638973130336e-06,0.0005488160181171,0.0005457129258441
banknote_authentication,13,0.2,0.05,majority_to_minority,0.0518518518518518,tabpfn_distpfn_t,oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.18254645222031e-06,0.0004984835253283,0.0004953107058162
